embedding_x,embedding_y
-0.3399953,18.054976
4.3949733,9.980254
18.35463,11.104085
2.7117834,4.441715
-5.26788,11.11925
10.895512,12.489841
16.759844,8.480409
18.669033,7.438176
16.099672,10.474653
3.7392154,4.5133896
-0.19725572,17.468853
7.4434447,8.899154
16.254972,10.737404
-5.1344824,9.162209
11.586593,10.241504
16.211262,10.71735
-5.438171,-10.432362
15.72977,5.0039673
-0.24690497,17.497257
16.612192,10.60029
16.91637,10.564785
16.460714,5.545326
17.924799,7.97463
16.241583,6.502944
11.430903,10.207481
-0.2638635,17.48236
12.293862,11.509547
0.9736378,5.8768377
3.6416721,4.7452817
-0.0014798895,17.680168
16.481218,9.887891
12.483814,10.769362
16.066908,4.734926
-0.22130024,17.473688
-5.277084,11.091175
16.629627,6.3438873
16.245941,10.726004
10.483919,12.576828
16.496466,9.382742
-0.014833598,17.717287
16.714525,10.674803
-3.4582505,3.6963108
16.292591,9.183759
-5.11733,8.172462
4.212314,11.100298
12.023642,8.3791685
0.012394114,17.688194
16.065096,10.459422
8.009553,8.739989
-4.4298453,4.3211036
3.8799422,7.627507
1.8337758,5.259228
10.233964,8.2380495
18.616333,11.235728
19.17287,10.853209
-0.2412505,17.478231
3.9316933,7.766015
12.543629,11.336716
16.981888,10.416427
-4.452507,4.3273816
-0.2776924,17.47845
12.226985,9.011665
15.992635,5.7389083
-0.21850938,17.476946
15.74433,5.273661
-0.14351226,17.491388
16.047018,10.517036
1.9910786,5.1549244
16.068228,10.464706
-2.5554285,17.684916
11.456177,10.307173
17.090054,9.738
-0.28325632,17.462978
-0.2500305,17.478086
-0.2717455,17.48381
4.637332,5.292638
-5.2326045,9.639514
16.666174,10.274981
17.778704,10.587999
10.007477,13.713577
-0.2782542,17.476957
4.110159,5.177745
-0.2955423,17.67772
-0.012992129,17.693111
-5.4273014,10.596249
19.783447,11.369746
21.049757,11.927956
3.8961897,10.95887
16.591902,10.693775
11.633484,10.63907
-1.761291,4.8812675
2.7966905,4.4185705
16.97445,7.793756
-0.17535962,17.484514
12.016022,11.420872
-0.2216309,17.476402
16.065649,10.365122
-2.5608902,17.68253
-1.1944993,6.100745
-5.3939257,7.048773
16.94984,7.727462
-0.26244822,17.47279
-0.14398757,17.479834
17.02941,7.8519883
19.089258,11.721104
16.767527,5.2208767
-5.2553215,9.729443
16.57972,7.7764044
0.38769525,17.415926
0.488347,17.32982
11.293348,9.926943
0.4023177,17.407887
15.84778,5.323505
0.4795398,17.337915
10.722802,12.686114
17.696043,10.685949
19.068737,11.67239
0.43094146,17.384617
16.932186,10.481942
16.890413,9.168396
16.895664,8.524618
16.336687,6.6947346
-4.697888,4.7021728
16.640774,7.2745943
16.781174,6.10162
16.882256,9.254256
11.05849,11.882118
0.50620013,17.312553
-5.348758,6.5868974
12.555296,11.551188
0.44169208,17.375776
16.741926,8.281398
-5.315491,10.025211
1.8916668,5.21604
20.400808,11.314609
-3.7526534,3.7883303
18.618793,11.274678
0.39023873,17.410784
0.45039317,17.36929
11.01883,12.774434
0.42113134,17.390598
-1.9049803,4.3837614
16.64174,8.078118
17.989592,7.9473095
10.210632,13.007492
16.791637,10.618965
4.2693853,7.9243226
16.660652,7.929953
10.0920315,13.013135
10.688125,12.316369
12.704258,11.076189
12.567779,11.5311
10.765133,13.661693
0.43682036,17.378923
4.19771,5.0900726
-5.410088,10.6301
0.008053996,17.726246
17.549414,8.341224
0.42955914,17.384102
0.40615147,17.403894
16.517271,10.665891
0.4078766,17.403917
7.99522,8.837582
11.044845,11.744738
18.26366,7.7032156
17.040663,10.302013
-5.359688,6.619399
10.212397,13.136788
0.51755536,17.298891
0.48883322,17.330198
16.425034,6.9928527
16.263113,10.721004
4.0990696,10.9996195
16.849155,10.228581
-3.801704,3.8488324
4.34774,10.141092
11.045119,12.59017
17.823217,7.7596107
12.963567,11.957669
0.4412412,17.383001
20.749489,11.757088
16.850363,10.597865
4.1782756,10.717397
17.231747,10.504385
4.2139344,8.459351
18.236164,7.7953486
3.2914572,8.783313
-2.3669722,3.8852623
8.062695,8.781344
16.175175,10.71602
-1.131872,6.15729
-3.7758403,3.833098
16.430351,9.924951
-4.976147,5.241528
0.5013735,17.318163
16.491522,10.688224
-3.2244232,3.605916
-2.228134,3.9449155
-1.8068084,14.741848
0.38432124,17.42709
-5.3428116,7.2640367
-5.4032116,7.0799875
0.48713186,17.3298
12.015137,8.383699
17.635706,10.041691
15.728521,4.9013257
18.273605,7.724041
0.4553391,17.362167
10.891963,8.893799
3.941126,10.809244
4.75739,5.299671
17.639864,8.3125105
-3.8731635,3.8966322
19.371614,6.7968845
11.558466,9.097193
-2.0284326,14.464004
0.35800868,17.538157
10.510033,8.471718
18.080225,10.859375
0.16096579,17.681602
-4.570732,4.4866652
4.294945,10.369221
17.249365,9.777676
19.045753,11.019676
9.967995,13.613946
-0.07166969,17.828007
0.17848258,17.664045
0.14331637,17.709364
-0.30021808,18.01594
0.36184362,17.53155
18.932524,10.681236
-2.564114,17.681572
0.36103502,17.534403
0.35962668,17.542501
0.3277892,17.54939
0.33720228,17.550282
16.4781,10.514019
20.12749,11.413282
17.350815,8.004599
19.337631,10.907247
18.522879,11.190862
1.3080767,5.6413817
3.8236206,9.255427
12.590901,11.677439
16.495718,10.705921
16.312477,10.777616
11.654723,9.266001
0.32220453,17.559767
-2.0572684,4.2236867
16.852013,10.191596
16.860292,8.030372
17.074923,9.65017
4.117823,7.8774037
-0.64900166,18.175938
12.081121,11.42151
16.345453,6.67664
3.0842714,8.90436
10.412287,12.779209
16.95308,9.790816
-5.2585583,11.133348
